model-name,phase,sum,median,std,count,mean,intervention,iqr
deepseek-r1:14b,1,183,17.0,3.1989581637360205,10,18.3,False,5.5
deepseek-r1:14b,2,200,20.0,2.357022603955159,10,20.0,True,3.0
deepseek-r1:14b,3,179,18.0,1.7919573407620815,10,17.9,False,3.0
deepseek-r1:32b,1,182,19.0,4.491968140779471,10,18.2,False,3.0
deepseek-r1:32b,2,209,21.0,3.3149493041204847,10,20.9,True,3.75
deepseek-r1:32b,3,181,18.0,1.728840330651992,10,18.1,False,2.75
deepseek-v3.1:671b-cloud,1,347,35.0,0.48304589153964833,10,34.7,False,0.75
deepseek-v3.1:671b-cloud,2,345,35.0,0.7071067811865489,10,34.5,True,1.0
deepseek-v3.1:671b-cloud,3,343,35.0,1.0593499054713804,10,34.3,False,1.0
llama3.2:1b,1,174,16.0,4.402019738458447,10,17.4,False,6.5
llama3.2:1b,2,214,22.0,2.633122354417533,10,21.4,True,2.0
llama3.2:1b,3,170,17.5,4.714045207910316,10,17.0,False,7.25
llama3.2:3b,1,190,18.5,4.737556801183965,10,19.0,False,6.5
llama3.2:3b,2,177,18.0,3.6530048514126614,10,17.7,False,5.5
llama3.2:3b,3,211,21.5,4.794672969962486,10,21.1,False,6.25
llama3.3:70b,1,260,26.0,1.154700538379252,10,26.0,False,1.5
llama3.3:70b,2,262,27.0,1.8135294011647258,10,26.2,False,2.75
llama3.3:70b,3,261,25.5,2.2827858224351916,10,26.1,False,3.25
mistral-small:22b,1,250,25.0,1.6329931618554523,10,25.0,False,1.0
mistral-small:22b,2,251,26.0,2.469817807045694,10,25.1,False,3.75
mistral-small:22b,3,264,26.0,1.349897115421106,10,26.4,False,1.75
qwen3:14b,1,199,19.5,4.148627617792552,10,19.9,False,6.75
qwen3:14b,2,212,20.0,4.157990967870046,10,21.2,False,6.75
qwen3:14b,3,192,19.5,2.9739610697593943,10,19.2,False,3.75
qwen3:4b,1,245,25.0,6.168918507773917,10,24.5,False,8.5
qwen3:4b,2,302,32.5,4.984420171338331,10,30.2,True,5.0
qwen3:4b,3,247,25.0,4.191260749066641,10,24.7,False,3.25
smollm2:135m,1,71,7.0,0.316227766016838,10,7.1,False,0.0
smollm2:135m,2,57,7.0,0.3535533905932739,8,7.125,False,0.0
smollm2:135m,3,58,7.0,2.214669705568283,7,8.285714285714286,False,1.5
